Item,Qty,Reference(s),Value,Digikey PN,MFG,MFG #,Notes
1,29,"C201, C202, C203, C401, C402, C601, C701, C801, C901, C1001, C1101, C1201, C1301, C1401, C1501, C2701, C2801, C2802, C2901, C2903, C2904, C2905, C2906, C2907, C2908, C2909, C3001, C3002, C3003",1 uF 10% 10V,1276-1275-1-ND,Samsung Electro-Mechanics,CL21B105KPFNNNE,
2,11,"C301, C1701, C1801, C1901, C2001, C2101, C2201, C2301, C2401, C2501, C2601",10 uF 10% 10V,1276-2402-1-ND,Samsung Electro-Mechanics,CL21A106KPCLQNC,
3,1,C2902,4.7 uF 10% 10V,1276-1259-1-ND,Samsung Electro-Mechanics,CL21A475KPFNNNE,
4,10,"D1701, D1801, D1901, D2001, D2101, D2201, D2301, D2401, D2501, D2601",SK6812MINI-E,1528-4960-ND,Adafruit Industries LLC,4960,Comes in pack of 10
5,3,"D2901, D2902, D2903",MBR0530,MBR0530TPMSCT-ND,Micro Commercial Co,MBR0530-TP,
6,1,J2901,FPC 1x24,WM20872CT-ND,Molex,5052782433,
7,1,L2901,10 uH 20% 0.8A,587-1659-1-ND,Taiyo Yuden,NR4012T100M,
8,1,Q2901,Q_PJFET_GDS,TSM850N06CXRFGCT-ND,Taiwan Semiconductor Corporation,TSM850N06CX RFG,
9,20,"R201, R203, R207, R301, R302, R601, R701, R801, R901, R1001, R1101, R1201, R1301, R1401, R1501, R2701, R2801, R3001, R3003, R3007",4.7k 5%,RMCF0805JT4K70CT-ND,Stackpole Electronics Inc,RMCF0805JT4K70,
10,14,"R202, R204, R602, R702, R802, R902, R1002, R1102, R1202, R1302, R1402, R1502, R3002, R3004",47k 5%,RMCF0805JT47K0CT-ND,Stackpole Electronics Inc,RMCF0805JT47K0,
11,3,"R205, R1601, R3005",150 5%,RMCF0805JT150RCT-ND,Stackpole Electronics Inc,RMCF0805JT150R,
12,3,"R206, R1602, R3006",2.7k 5%,RMCF0805JT2K70CT-ND,Stackpole Electronics Inc,RMCF0805JT2K70,
13,4,"R208, R209, R3008, R3009",68 5%,RMCF0805JT68R0CT-ND,Stackpole Electronics Inc,RMCF0805JT68R0,
14,5,"R2702, R2703, R2704, R2706, R2707",1k 5%,RMCF0805JT1K00CT-ND,Stackpole Electronics Inc,RMCF0805JT1K00,
15,2,"R2705, R2902",100k 5%,RMCF0805JT100KCT-ND,Stackpole Electronics Inc,RMCF0805JT100K,
16,1,R2901,470 5%,RMCF0805JT470RCT-ND,Stackpole Electronics Inc,RMCF0805JT470R,
17,2,"S201, S3001","ENCODER-RGB-
SWITCH",1568-COM-15141-ND,SparkFun Electronics,COM-15141,Ordered from Spark Fun directly
18,10,"SW601, SW701, SW801, SW901, SW1001, SW1101, SW1201, SW1301, SW1401, SW1501",KH-PS1611-54,1528-495ND,Adafruit Industries LLC,4955,Comes in pack of 10
19,1,SW2801,SWITCH TACTILE SPST-NO 50MA 12V,EG5353CT-ND,E-Switch,TL3305AF260QG,
20,1,U301,VEML7700,VEML7700CT-ND,Vishay Semiconductor,VEML7700-TR,
21,1,U401,PI4ULS5V201TAEX,PI4ULS5V201TAEXCT-ND,Diodes Inc,PI4ULS5V201TAEX,
22,1,U2701,PCA9745BTWJ,568-14156-1-ND,NXP USA Inc.,PCA9745BTWJ,
23,1,U2801,Pico-JER,2648-SC0915CT-ND,Raspberry Pi,SC0915,
Source:,,,/Users/andrewferguson/Documents/10-19 Projects/11 Design/11.03 TeachMePCB/Macro Keyboard/Macro Keyboard.sch,,,,
Date:,,,"Wednesday, December 29, 2021 at 08:10:08 PM",,,,
Tool:,,,Eeschema (5.1.12-1-10_14),,,,
Generator:,,,/Applications/KiCad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,
Component Count:,,,126,,,,